Iteration,real,user,sys,cpu%,maxrss
1,0:04.10,86.06,14.09,2438%,18050436
2,0:03.85,86.12,13.88,2596%,17916272
1,0:03.88,86.69,13.96,2588%,17904140
2,0:03.96,87.46,14.84,2580%,18017608
3,0:03.89,86.59,14.22,2591%,17868052
4,0:03.93,86.53,14.94,2576%,18009348
5,0:03.90,87.32,14.22,2599%,17751640
6,0:03.94,87.60,13.96,2572%,18057612
7,0:03.90,87.47,13.74,2589%,18034160
8,0:03.88,86.44,14.60,2601%,18038752
9,0:03.88,86.10,14.43,2590%,17864736
10,0:03.92,86.99,14.32,2582%,17953704
11,0:03.94,87.81,14.38,2593%,17945808
12,0:03.89,86.69,14.09,2590%,18049664
13,0:03.92,87.16,14.11,2579%,18026700
14,0:03.92,86.47,14.78,2577%,17934044
15,0:03.97,87.69,14.55,2573%,17933236
16,0:03.91,87.34,14.38,2599%,18045796
17,0:03.91,86.52,14.85,2591%,17916036
18,0:03.93,86.93,14.56,2582%,17888360
19,0:03.86,86.41,14.01,2597%,17892572
20,0:03.91,86.89,14.61,2594%,18063072
21,0:03.92,87.70,14.23,2595%,18008412
22,0:03.93,87.83,14.11,2594%,17856092
23,0:03.91,87.45,14.40,2599%,17992640
24,0:03.90,86.88,14.80,2605%,18026028
25,0:03.94,87.03,14.25,2570%,17821796
26,0:03.92,87.45,13.99,2587%,18003032
27,0:03.92,86.98,14.49,2586%,18010480
28,0:03.98,87.33,14.87,2567%,17962684
29,0:03.91,87.23,14.09,2588%,17907484
30,0:03.93,87.28,14.01,2577%,18024424
